,scores,ds
3816,0,20140326
3817,0,20140327
3818,0,20140328
3819,0,20140331
3820,0,20140401
3821,0,20140402
3822,0,20140403
3823,0,20140404
3824,0,20140407
3825,0,20140408
3826,0,20140409
3827,0,20140410
3828,0,20140411
3829,0,20140414
3830,0,20140415
3831,0,20140416
3832,0,20140417
3833,0,20140421
3834,0,20140422
3835,0,20140423
3836,0,20140424
3837,0,20140425
3838,0,20140428
3839,0,20140429
3840,0,20140430
3841,0,20140501
3842,0,20140502
3843,0,20140505
3844,0,20140506
3845,0,20140507
3846,0,20140508
3847,0,20140509
3848,0,20140512
3849,0,20140513
3850,0,20140514
3851,0,20140515
3852,0,20140516
3853,0,20140519
3854,0,20140520
3855,0,20140521
3856,0,20140522
3857,0,20140523
3858,0,20140527
3859,0,20140528
3860,0,20140529
3861,0,20140530
3862,0,20140602
3863,0,20140603
3864,0,20140604
3865,0,20140605
3866,0,20140606
3867,0,20140609
3868,0,20140610
3869,0,20140611
3870,0,20140612
3871,0,20140613
3872,0,20140616
3873,0,20140617
3874,0,20140618
3875,0,20140619
3876,0,20140620
3877,0,20140623
3878,0,20140624
3879,0,20140625
3880,0,20140626
3881,0,20140627
3882,0,20140630
3883,0,20140701
3884,0,20140702
3885,0,20140703
3886,0,20140707
3887,0,20140708
3888,0,20140709
3889,0,20140710
3890,0,20140711
3891,0,20140714
3892,0,20140715
3893,0,20140716
3894,0,20140717
3895,0,20140718
3896,0,20140721
3897,0,20140722
3898,0,20140723
3899,0,20140724
3900,0,20140725
3901,0,20140728
3902,0,20140729
3903,0,20140730
3904,0,20140731
3905,0,20140801
3906,0,20140804
3907,0,20140805
3908,0,20140806
3909,0,20140807
3910,0,20140808
3911,0,20140811
3912,0,20140812
3913,0,20140813
3914,0,20140814
3915,0,20140815
3916,0,20140818
3917,0,20140819
3918,0,20140820
3919,0,20140821
3920,0,20140822
3921,0,20140825
3922,0,20140826
3923,0,20140827
3924,0,20140828
3925,0,20140829
3926,0,20140902
3927,0,20140903
3928,0,20140904
3929,0,20140905
3930,0,20140908
3931,0,20140909
3932,0,20140910
3933,0,20140911
3934,0,20140912
3935,0,20140915
3936,0,20140916
3937,0,20140917
3938,0,20140918
3939,0,20140919
3940,0,20140922
3941,0,20140923
3942,0,20140924
3943,0,20140925
3944,0,20140926
3945,0,20140929
3946,0,20140930
3947,0,20141001
3948,0,20141002
3949,0,20141003
3950,0,20141006
3951,0,20141007
3952,0,20141008
3953,0,20141009
3954,0,20141010
3955,0,20141013
3956,0,20141014
3957,0,20141015
3958,0,20141016
3959,0,20141017
3960,0,20141020
3961,0,20141021
3962,0,20141022
3963,0,20141023
3964,0,20141024
3965,0,20141027
3966,0,20141028
3967,0,20141029
3968,0,20141030
3969,0,20141031
3970,0,20141103
3971,0,20141104
3972,0,20141105
