,ds,score
367,2015-04-07 00:00:00-04:00,0.0
368,2015-04-06 00:00:00-04:00,0.0
369,2015-04-02 00:00:00-04:00,0.0
370,2015-04-01 00:00:00-04:00,0.0
371,2015-03-31 00:00:00-04:00,0.0
372,2015-03-30 00:00:00-04:00,0.0
373,2015-03-27 00:00:00-04:00,0.0
374,2015-03-26 00:00:00-04:00,0.0
375,2015-03-25 00:00:00-04:00,0.0
376,2015-03-24 00:00:00-04:00,0.0
377,2015-03-23 00:00:00-04:00,0.0
378,2015-03-20 00:00:00-04:00,0.0
379,2015-03-19 00:00:00-04:00,0.0
380,2015-03-18 00:00:00-04:00,0.0
381,2015-03-17 00:00:00-04:00,0.0
382,2015-03-16 00:00:00-04:00,0.0
383,2015-03-13 00:00:00-04:00,0.0
384,2015-03-12 00:00:00-04:00,0.0
385,2015-03-11 00:00:00-04:00,0.0
386,2015-03-10 00:00:00-04:00,0.0
387,2015-03-09 00:00:00-04:00,0.0
388,2015-03-06 00:00:00-05:00,0.0
389,2015-03-05 00:00:00-05:00,0.0
390,2015-03-04 00:00:00-05:00,0.0
391,2015-03-03 00:00:00-05:00,0.0
392,2015-03-02 00:00:00-05:00,0.0
393,2015-02-27 00:00:00-05:00,0.0
394,2013-07-02 00:00:00-04:00,0.0
395,2013-07-01 00:00:00-04:00,0.0
396,2013-06-28 00:00:00-04:00,0.0
397,2013-06-27 00:00:00-04:00,0.0
398,2013-06-26 00:00:00-04:00,0.0
399,2013-06-25 00:00:00-04:00,0.0
400,2013-06-24 00:00:00-04:00,0.0
401,2013-06-21 00:00:00-04:00,0.0
402,2013-06-20 00:00:00-04:00,0.0
403,2013-06-19 00:00:00-04:00,0.0
404,2013-06-18 00:00:00-04:00,0.0
405,2013-06-17 00:00:00-04:00,0.0
406,2013-06-14 00:00:00-04:00,0.0
407,2013-06-13 00:00:00-04:00,0.0
408,2013-06-12 00:00:00-04:00,0.0
409,2013-06-11 00:00:00-04:00,0.0
410,2013-06-10 00:00:00-04:00,0.0
411,2013-06-07 00:00:00-04:00,0.0
412,2013-06-06 00:00:00-04:00,0.0
413,2013-06-05 00:00:00-04:00,0.0
414,2013-06-04 00:00:00-04:00,0.0
415,2013-06-03 00:00:00-04:00,0.0
416,2013-05-31 00:00:00-04:00,0.0
417,2013-05-30 00:00:00-04:00,0.0
418,2013-05-29 00:00:00-04:00,0.0
419,2013-05-28 00:00:00-04:00,0.0
420,2013-05-24 00:00:00-04:00,0.0
421,2013-05-23 00:00:00-04:00,0.0
422,2013-05-22 00:00:00-04:00,0.0
423,2013-05-21 00:00:00-04:00,0.0
424,2013-05-20 00:00:00-04:00,0.0
425,2013-05-17 00:00:00-04:00,0.0
426,2013-05-16 00:00:00-04:00,0.0
427,2013-05-15 00:00:00-04:00,0.0
428,2013-05-14 00:00:00-04:00,0.0
429,2013-05-13 00:00:00-04:00,0.0
430,2013-05-10 00:00:00-04:00,0.0
431,2013-05-09 00:00:00-04:00,0.0
432,2013-05-08 00:00:00-04:00,0.0
433,2013-05-07 00:00:00-04:00,0.0
434,2013-05-06 00:00:00-04:00,0.0
435,2013-05-03 00:00:00-04:00,0.0
436,2013-05-02 00:00:00-04:00,0.0
437,2013-05-01 00:00:00-04:00,0.0
438,2013-04-30 00:00:00-04:00,0.0
439,2013-04-29 00:00:00-04:00,0.0
440,2013-04-26 00:00:00-04:00,0.0
441,2013-04-25 00:00:00-04:00,0.0
442,2013-04-24 00:00:00-04:00,0.0
443,2013-04-23 00:00:00-04:00,0.0
444,2013-04-22 00:00:00-04:00,0.0
445,2013-04-19 00:00:00-04:00,0.0
446,2013-04-18 00:00:00-04:00,0.0
447,2013-04-17 00:00:00-04:00,0.0
448,2013-04-16 00:00:00-04:00,0.0
449,2013-04-15 00:00:00-04:00,0.0
450,2013-04-12 00:00:00-04:00,0.0
451,2013-04-11 00:00:00-04:00,0.0
452,2013-04-10 00:00:00-04:00,0.0
453,2013-04-09 00:00:00-04:00,0.0
454,2011-08-03 00:00:00-04:00,0.0
455,2011-08-02 00:00:00-04:00,0.0
456,2011-08-01 00:00:00-04:00,0.0
457,2011-07-29 00:00:00-04:00,0.0
458,2011-07-28 00:00:00-04:00,0.0
459,2011-07-27 00:00:00-04:00,0.0
460,2011-07-26 00:00:00-04:00,0.0
461,2011-07-25 00:00:00-04:00,0.0
462,2011-07-22 00:00:00-04:00,0.0
463,2011-07-21 00:00:00-04:00,0.0
464,2011-07-20 00:00:00-04:00,0.0
465,2011-07-19 00:00:00-04:00,0.0
466,2011-07-18 00:00:00-04:00,0.0
467,2011-07-15 00:00:00-04:00,0.0
468,2011-07-14 00:00:00-04:00,0.0
469,2011-07-13 00:00:00-04:00,0.0
470,2011-07-12 00:00:00-04:00,0.0
471,2011-07-11 00:00:00-04:00,0.0
472,2011-07-08 00:00:00-04:00,0.0
473,2011-07-07 00:00:00-04:00,0.0
474,2011-07-06 00:00:00-04:00,0.0
475,2011-07-05 00:00:00-04:00,0.0
476,2011-07-01 00:00:00-04:00,0.0
477,2011-06-30 00:00:00-04:00,0.0
478,2011-06-29 00:00:00-04:00,0.0
479,2011-06-28 00:00:00-04:00,0.0
480,2011-06-27 00:00:00-04:00,0.0
481,2011-06-24 00:00:00-04:00,0.0
482,2011-06-23 00:00:00-04:00,0.0
483,2011-06-22 00:00:00-04:00,0.0
484,2011-06-21 00:00:00-04:00,0.0
485,2011-06-20 00:00:00-04:00,0.0
486,2011-06-17 00:00:00-04:00,0.0
487,2011-06-16 00:00:00-04:00,0.0
488,2011-06-15 00:00:00-04:00,0.0
489,2011-06-14 00:00:00-04:00,0.0
490,2011-06-13 00:00:00-04:00,0.0
491,2011-06-10 00:00:00-04:00,0.0
492,2011-06-09 00:00:00-04:00,0.0
493,2011-06-08 00:00:00-04:00,0.0
494,2011-06-07 00:00:00-04:00,0.0
495,2011-06-06 00:00:00-04:00,0.0
496,2011-06-03 00:00:00-04:00,0.0
497,2011-06-02 00:00:00-04:00,0.0
498,2011-06-01 00:00:00-04:00,0.0
499,2011-05-31 00:00:00-04:00,0.0
500,2011-05-27 00:00:00-04:00,0.0
501,2011-05-26 00:00:00-04:00,0.0
502,2011-05-25 00:00:00-04:00,0.0
503,2011-05-24 00:00:00-04:00,0.0
504,2011-05-23 00:00:00-04:00,0.0
505,2011-05-20 00:00:00-04:00,0.0
506,2011-05-19 00:00:00-04:00,0.0
507,2011-05-18 00:00:00-04:00,0.0
508,2011-05-17 00:00:00-04:00,0.0
509,2011-05-16 00:00:00-04:00,0.0
510,2011-05-13 00:00:00-04:00,0.0
511,2011-05-12 00:00:00-04:00,0.0
512,2011-05-11 00:00:00-04:00,0.0
513,2011-05-10 00:00:00-04:00,0.0
514,2009-09-14 00:00:00-04:00,0.0
515,2009-09-11 00:00:00-04:00,0.0
516,2009-09-10 00:00:00-04:00,0.0
517,2009-09-09 00:00:00-04:00,0.0
518,2009-09-08 00:00:00-04:00,0.0
519,2009-09-04 00:00:00-04:00,0.0
520,2009-09-03 00:00:00-04:00,0.0
521,2009-09-02 00:00:00-04:00,0.0
522,2009-09-01 00:00:00-04:00,0.0
523,2009-08-31 00:00:00-04:00,0.0
524,2009-08-28 00:00:00-04:00,0.0
525,2009-08-27 00:00:00-04:00,0.0
526,2009-08-26 00:00:00-04:00,0.0
527,2009-08-25 00:00:00-04:00,0.0
528,2009-08-24 00:00:00-04:00,0.0
529,2009-08-21 00:00:00-04:00,0.0
530,2009-08-20 00:00:00-04:00,0.0
531,2009-08-19 00:00:00-04:00,0.0
532,2009-08-18 00:00:00-04:00,0.0
533,2009-08-17 00:00:00-04:00,0.0
